-07.55,  12.42, -04.91
-07.60,  12.46, -04.90
-07.59,  12.51, -04.90
-07.63,  12.53, -04.93
-07.65,  12.58, -04.99
-07.69,  12.63, -04.98
-07.63,  12.66, -04.92
-07.70,  12.73, -04.94
-07.71,  12.78, -04.97
-07.74,  12.82, -05.04
-07.80,  12.88, -05.03
-07.82,  12.93, -05.06
-07.92,  12.95, -04.95
-07.95,  12.97, -04.99
-08.00,  13.03, -04.96
-08.04,  13.07, -04.95
-08.05,  13.06, -05.01
-08.09,  13.07, -04.92
-08.08,  13.15, -04.96
-08.13,  13.18, -04.89
-08.16,  13.21, -04.96
-08.12,  13.28, -04.91
-08.12,  13.33, -04.86
-08.13,  13.26, -04.87
-08.15,  13.26, -04.88
-08.09,  13.26, -04.86
-08.06,  13.34, -04.94
-08.00,  13.33, -05.01
-08.05,  13.36, -05.01
-08.07,  13.35, -05.10
-08.13,  13.40, -05.00
-08.04,  13.46, -04.99
-07.99,  13.50, -05.02
-08.08,  13.59, -05.01
-08.06,  13.59, -05.09
-08.11,  13.61, -05.17
-08.16,  13.61, -05.18
-08.08,  13.64, -05.22
-08.08,  13.72, -05.21
-08.12,  13.77, -05.20
-08.15,  13.80, -05.19
-08.21,  13.82, -05.18
-08.14,  13.86, -05.13
-08.12,  13.91, -05.24
-08.07,  14.01, -05.21
-08.12,  14.09, -05.18
-08.17,  14.12, -05.16
-08.23,  14.13, -05.27
-08.33,  14.17, -05.27
-08.40,  14.25, -05.28
-08.47,  14.30, -05.26
-08.48,  14.41, -05.23
-08.51,  14.48, -05.22
-08.58,  14.49, -05.20
-08.56,  14.48, -05.20
-08.59,  14.50, -05.14
-08.57,  14.49, -05.17
-08.59,  14.50, -05.21
-08.65,  14.56, -05.19
-08.76,  14.62, -05.15
-08.79,  14.73, -05.20
-08.81,  14.73, -05.19
-08.75,  14.74, -05.22
-08.74,  14.73, -05.30
-08.79,  14.79, -05.23
-08.78,  14.87, -05.22
-08.78,  14.87, -05.30
-08.71,  14.90, -05.30
-08.67,  14.96, -05.30
-08.76,  14.91, -05.34
-08.77,  14.94, -05.42
-08.81,  15.01, -05.48
-08.78,  15.05, -05.52
-08.85,  15.05, -05.58
-08.87,  15.04, -05.56
-08.95,  15.13, -05.57
-08.99,  15.17, -05.61
-09.00,  15.24, -05.63
-09.05,  15.29, -05.63
-09.05,  15.40, -05.64
-09.04,  15.48, -05.49
-09.08,  15.53, -05.45
-09.10,  15.57, -05.49
-09.06,  15.58, -05.55
-09.09,  15.60, -05.45
-09.07,  15.64, -05.46
-09.05,  15.70, -05.39
-09.03,  15.72, -05.35
-09.01,  15.75, -05.39
-09.03,  15.80, -05.36
-09.03,  15.83, -05.33
-09.11,  15.87, -05.37
-09.08,  15.87, -05.41
-09.06,  15.89, -05.42
-09.12,  15.84, -05.46
-09.14,  15.91, -05.41
-09.15,  15.93, -05.37
-09.11,  15.99, -05.35
-09.12,  15.96, -05.39
-09.13,  15.98, -05.30
-09.23,  16.02, -05.33
-09.24,  16.12, -05.34
-09.24,  16.17, -05.34
-09.26,  16.12, -05.26
-09.26,  16.19, -05.25
-09.26,  16.21, -05.21
-09.25,  16.26, -05.21
-09.30,  16.21, -05.22
-09.34,  16.29, -05.23
-09.34,  16.34, -05.26
-09.38,  16.35, -05.23
-09.39,  16.39, -05.26
-09.42,  16.41, -05.29
-09.41,  16.49, -05.34
-09.43,  16.53, -05.31
-09.48,  16.53, -05.25
-09.52,  16.63, -05.33
-09.58,  16.63, -05.36
-09.62,  16.69, -05.40
-09.68,  16.67, -05.26
-09.63,  16.74, -05.18
-09.60,  16.81, -05.15
